row_number,store_code,id,price,availability
886,1,9443,65,out_of_stock
887,1,43173,25,out_of_stock
888,1,54991,15,in_stock
889,1,11985,10,in_stock
890,1,4667,15,in_stock
891,1,5521,25,in_stock
892,1,4434,15,in_stock
893,1,8932,220,in_stock
894,1,44154,65,in_stock
895,1,2410,40,in_stock
896,1,6256,100,in_stock
897,1,1321,65,in_stock
898,1,6047,10,in_stock
899,1,3997,30,in_stock
900,1,50168,160,in_stock
901,1,3999,40,in_stock
902,1,835,5,in_stock
903,1,186,35,in_stock
904,1,764,5,in_stock
905,1,757,5,in_stock
906,1,624,5,in_stock
907,1,8184,5,in_stock
908,1,4,70,out_of_stock
909,1,778,5,in_stock
910,1,813,10,out_of_stock
911,1,39872,30,in_stock
912,1,42997,15,in_stock
913,1,9103,190,in_stock
914,1,564,60,out_of_stock
915,1,4087,40,out_of_stock
916,1,9728,10,out_of_stock
917,1,44363,20,in_stock
918,1,44366,25,in_stock
919,1,44958,25,in_stock
920,1,382,15,in_stock
921,1,56678,125,in_stock
922,1,50886,105,in_stock
923,1,7279,35,out_of_stock
924,1,292,25,in_stock
925,1,1161,170,in_stock
926,1,7588,100,in_stock
927,1,140,35,in_stock
928,1,1129,20,in_stock
929,1,9104,15,out_of_stock
930,1,580,20,in_stock
931,1,51078,85,in_stock
932,1,9861,20,in_stock
933,1,131,20,in_stock
934,1,172,15,in_stock
935,1,108,60,out_of_stock
936,1,8244,20,out_of_stock
937,1,9610,20,out_of_stock
938,1,51944,45,in_stock
939,1,59652,50,in_stock
940,1,9333,25,out_of_stock
941,1,53211,5,in_stock
942,1,8104,5,in_stock
943,1,4959,85,in_stock
944,1,10003,70,in_stock
945,1,1154,40,in_stock
946,1,9443,65,out_of_stock
947,1,43173,25,out_of_stock
948,1,54991,15,in_stock
949,1,11985,10,in_stock
950,1,4667,15,in_stock
951,1,5521,25,in_stock
952,1,4434,15,in_stock
953,1,8932,220,in_stock
954,1,44154,65,in_stock
955,1,2410,40,in_stock
956,1,6256,100,in_stock
957,1,1321,65,in_stock
958,1,6047,10,in_stock
959,1,3997,30,in_stock
960,1,50168,160,in_stock
961,1,3999,40,in_stock
962,1,835,5,in_stock
963,1,186,35,in_stock
964,1,764,5,in_stock
965,1,757,5,in_stock
966,1,624,5,in_stock
967,1,8184,5,in_stock
968,1,4,70,out_of_stock
969,1,778,5,in_stock
970,1,813,10,out_of_stock
971,1,39872,30,in_stock
972,1,42997,15,in_stock
973,1,9103,190,in_stock
974,1,564,60,out_of_stock
975,1,4087,40,out_of_stock
976,1,9728,10,out_of_stock
977,1,44363,20,in_stock
978,1,44366,25,in_stock
979,1,44958,25,in_stock
980,1,382,15,in_stock
